60000|200|2016-01-19
31500|100|2016-01-19
31500|100|2016-01-19
30000|100|2016-01-19
30000|100|2016-01-19
30000|102|2016-01-19
30000|100|2016-01-19
30000|100|2016-01-19
30000|100|2016-01-19
89999|300|2016-01-18
29400|100|2016-01-18
89000|300|2016-01-18
30000|100|2016-01-18
30000|100|2016-01-18
600000|2000|2016-01-18
29400|100|2016-01-18
30000|101|2016-01-17
30000|101|2016-01-17
30000|101|2016-01-17
31500|100|2016-01-17
30000|101|2016-01-17
30000|101|2016-01-17
30000|101|2016-01-17
30000|100|2016-01-17
31500|100|2016-01-17
30000|100|2016-01-17
30000|100|2016-01-17
126000|400|2016-01-17
30500|100|2016-01-17
29500|100|2016-01-17
29500|100|2016-01-17
30000|100|2016-01-16
29500|100|2016-01-16
30000|100|2016-01-16
244000|800|2016-01-16
300000|1000|2016-01-16
157500|500|2016-01-16
300000|1000|2016-01-16
300000|1000|2016-01-16
30050|100|2016-01-15
30000|100|2016-01-15
62000|200|2016-01-15
30000|100|2016-01-15
29999|100|2016-01-15
31500|100|2016-01-15
31500|100|2016-01-15
305000|1000|2016-01-15
15500|50|2016-01-15
31000|101|2016-01-14
31000|100|2016-01-14
60000|200|2016-01-14
310000|1000|2016-01-14
310000|1000|2016-01-14
31500|100|2016-01-13
33075|100|2016-01-13
34178|100|2016-01-13
316061|1000|2016-01-13
315000|1000|2016-01-13
31973|100|2016-01-13
315000|1000|2016-01-13
300000|1000|2016-01-13
315000|1000|2016-01-13
31000|100|2016-01-13
31500|100|2016-01-13
310000|1000|2016-01-13
33075|100|2016-01-13
33075|100|2016-01-13
33075|100|2016-01-12
31500|100|2016-01-13
310000|1000|2016-01-12
310000|1000|2016-01-12
325500|1000|2016-01-12
325500|1000|2016-01-12
325500|1000|2016-01-12
160000|500|2016-01-12
31500|100|2016-01-12
60000|200|2016-01-11
30000|100|2016-01-11
310000|1000|2016-01-11
310000|1000|2016-01-11
310000|1000|2016-01-11
30500|101|2016-01-11
31500|100|2016-01-11
30870|100|2016-01-11
60000|200|2016-01-11
31000|100|2016-01-10
29400|100|2016-01-10
30000|100|2016-01-10
60000|200|2016-01-10
30000|101|2016-01-10
30000|101|2016-01-10
305000|1000|2016-01-10
305000|1000|2016-01-10
305000|1000|2016-01-10
305000|1000|2016-01-10
305000|1000|2016-01-10
336263|1000|2016-01-10
930100|3000|2016-01-10
30000|100|2016-01-10
300000|1000|2016-01-10
31500|100|2016-01-10
31500|100|2016-01-10
150000|500|2016-01-10
210000|700|2016-01-09
65000|200|2016-01-09
157500|500|2016-01-08
30000|100|2016-01-08
68250|200|2016-01-08
315000|1000|2016-01-08
65000|200|2016-01-08
930000|3000|2016-01-08
30000|100|2016-01-08
30000|100|2016-01-08
62000|200|2016-01-08
30000|100|2016-01-08
149999|500|2016-01-08
63000|200|2016-01-07
150000|500|2016-01-07
33075|100|2016-01-07
70000|222|2016-01-06
31500|100|2016-01-06
29400|100|2016-01-06
150000|500|2016-01-06
61500|200|2016-01-06
300000|1000|2016-01-06
157500|500|2016-01-05
31000|100|2016-01-05
31500|100|2016-01-05
14500|50|2016-01-05
120000|400|2016-01-05
930000|3000|2016-01-04
30000|100|2016-01-05
31500|100|2016-01-04
90000|300|2016-01-04
300000|1000|2016-01-04
15000|50|2016-01-04
120000|400|2016-01-04
300000|1000|2016-01-04
63000|200|2016-01-03
312000|1000|2016-01-03
300000|1001|2016-01-03
30000|100|2016-01-03
15750|50|2016-01-03
120000|400|2016-01-03
31500|100|2016-01-03
132300|444|2016-01-03
115763|500|2016-01-02
60000|200|2016-01-02
60900|200|2016-01-02
156450|500|2016-01-02
30000|100|2016-01-02
30000|100|2016-01-02
30000|100|2016-01-02
30000|100|2016-01-02
30000|100|2016-01-02
66150|222|2016-01-02
15500|50|2016-01-02
300000|1000|2016-01-01
315000|1000|2016-01-01
31500|100|2016-01-01
157500|500|2015-12-31
315000|1000|2015-12-31
31500|100|2015-12-31
31500|100|2015-12-31
78500|250|2015-12-31
31500|100|2015-12-31
16500|55|2015-12-31
33075|100|2015-12-31
33075|100|2015-12-31
33075|100|2015-12-31
33075|100|2015-12-30
33075|100|2015-12-30
33075|100|2015-12-30
15555|50|2015-12-31
63000|200|2015-12-30
125000|400|2015-12-30
32000|100|2015-12-30
310000|1000|2015-12-30
32323|103|2015-12-30
31500|100|2015-12-29
300000|1000|2015-12-29
63000|200|2015-12-29
63000|200|2015-12-29
315000|1000|2015-12-29
31500|100|2015-12-29
33075|105|2015-12-29
62000|200|2015-12-29
31500|100|2015-12-29
94500|300|2015-12-29
158000|500|2015-12-29
31000|100|2015-12-29
63000|200|2015-12-28
31000|100|2015-12-28
31500|100|2015-12-28
160000|500|2015-12-28
158000|500|2015-12-28
30000|100|2015-12-27
31500|100|2015-12-27
32000|100|2015-12-27
32000|100|2015-12-27
312000|1000|2015-12-27
15750|50|2015-12-27
315000|1000|2015-12-27
31000|100|2015-12-27
15000|50|2015-12-27
31500|100|2015-12-27
47250|150|2015-12-26
32000|100|2015-12-26
320000|1000|2015-12-26
32323|100|2015-12-26
31000|100|2015-12-26
31500|100|2015-12-26
31000|100|2015-12-26
31500|100|2015-12-26
31500|100|2015-12-26
65100|200|2015-12-26
312999|1000|2015-12-26
31000|100|2015-12-25
115000|385|2015-12-25
33000|100|2015-12-25
31500|100|2015-12-25
32550|100|2015-12-25
32000|100|2015-12-24
63000|200|2015-12-24
60000|200|2015-12-24
36466|100|2015-12-24
36466|100|2015-12-24
66150|200|2015-12-24
160000|500|2015-12-24
70560|200|2015-12-23
34729|100|2015-12-23
36466|100|2015-12-23
315000|1000|2015-12-23
31000|100|2015-12-23
99750|300|2015-12-22
32550|100|2015-12-22
31500|100|2015-12-22
125000|400|2015-12-22
33075|100|2015-12-22
33075|100|2015-12-22
16275|50|2015-12-21
33075|100|2015-12-21
31500|100|2015-12-21
31500|100|2015-12-20
315000|1000|2015-12-20
31500|100|2015-12-20
31500|100|2015-12-20
31500|100|2015-12-20
31500|100|2015-12-20
80000|250|2015-12-20
63000|200|2015-12-20
97650|300|2015-12-20
45000|150|2015-12-20
15749|52|2015-12-20
61833|200|2015-12-20
25555|95|2015-12-20
81900|250|2015-12-19
80000|250|2015-12-19
31500|100|2015-12-19
31500|100|2015-12-19
62000|200|2015-12-19
22050|70|2015-12-19
165375|500|2015-12-19
81900|250|2015-12-19
58000|200|2015-12-19
81900|250|2015-12-19
320355|1000|2015-12-19
32550|100|2015-12-18
63000|200|2015-12-18
32550|100|2015-12-18
31973|100|2015-12-18
31500|100|2015-12-18
31500|100|2015-12-17
320000|1000|2015-12-17
155000|500|2015-12-17
31500|100|2015-12-17
60000|200|2015-12-17
33075|100|2015-12-17
31500|100|2015-12-17
31000|100|2015-12-17
31000|100|2015-12-16
31500|100|2015-12-16
80000|250|2015-12-16
160000|500|2015-12-16
60000|200|2015-12-16
30000|100|2015-12-15
33600|100|2015-12-15
32550|100|2015-12-15
21000|70|2015-12-15
64000|200|2015-12-14
31500|100|2015-12-14
33075|100|2015-12-13
33075|100|2015-12-13
30000|100|2015-12-13
64000|200|2015-12-13
320000|1000|2015-12-13
33075|100|2015-12-13
32000|100|2015-12-13
32000|100|2015-12-13
30000|100|2015-12-12
30000|100|2015-12-12
63000|200|2015-12-12
63000|200|2015-12-12
330750|1000|2015-12-12
31500|100|2015-12-11
460000|1500|2015-12-11
305000|1000|2015-12-11
30000|100|2015-12-11
31500|100|2015-12-11
31500|100|2015-12-11
30000|100|2015-12-10
31500|100|2015-12-10
150000|500|2015-12-10
319000|1000|2015-12-10
310000|1000|2015-12-10
64050|200|2015-12-10
315000|1000|2015-12-10
31500|100|2015-12-09
30000|100|2015-12-09
319000|1000|2015-12-09
320000|1000|2015-12-09
319500|1000|2015-12-09
319900|1000|2015-12-09
159900|500|2015-12-09
319200|1000|2015-12-09
29999|100|2015-12-09
160650|500|2015-12-09
13000|40|2015-12-09
30000|100|2015-12-08
30000|100|2015-12-08
33600|118|2015-12-08
320000|1000|2015-12-08
31500|100|2015-12-08
31500|100|2015-12-08
333333|1000|2015-12-08
46500|150|2015-12-08
34178|100|2015-12-08
31604|100|2015-12-07
31500|100|2015-12-07
30000|100|2015-12-07
650000|2000|2015-12-06
30000|100|2015-12-06
31500|100|2015-12-06
31500|100|2015-12-05
49000|150|2015-12-05
63000|200|2015-12-05
315000|1000|2015-12-04
36466|100|2015-12-04
34729|100|2015-12-04
341775|1000|2015-12-04
30975|100|2015-12-03
31500|100|2015-12-03
150000|500|2015-12-03
31500|100|2015-12-03
33000|104|2015-12-03
32000|100|2015-12-03
31500|100|2015-12-02
30099|100|2015-12-02
132300|400|2015-12-02
30000|100|2015-12-01
32666|100|2015-12-01
30000|100|2015-12-01
33075|100|2015-12-01
33075|100|2015-11-30
165000|500|2015-11-30
30000|100|2015-11-30
99000|300|2015-11-30
325500|1000|2015-11-29
52500|200|2015-11-29
324135|1000|2015-11-29
30000|100|2015-11-29
30000|100|2015-11-29
771750|2000|2015-11-28
31500|100|2015-11-28
72931|200|2015-11-28
370440|1000|2015-11-28
101850|300|2015-11-28
109148|300|2015-11-28
32223|100|2015-11-27
1531539|4000|2015-11-27
34729|100|2015-11-27
34729|100|2015-11-27
150000|500|2015-11-27
33075|100|2015-11-27
35887|100|2015-11-26
33075|100|2015-11-26
33075|100|2015-11-26
175000|500|2015-11-26
33185|100|2015-11-26
18000|60|2015-11-26
31500|100|2015-11-25
63000|200|2015-11-25
300000|1000|2015-11-25
59000|200|2015-11-25
30000|100|2015-11-25
30000|100|2015-11-25
315000|1001|2015-11-24
30000|100|2015-11-24
15000|50|2015-11-24
63000|200|2015-11-24
30000|100|2015-11-24
60000|200|2015-11-24
150000|500|2015-11-24
30000|100|2015-11-23
30000|100|2015-11-23
28665|100|2015-11-22
44100|150|2015-11-22
30000|100|2015-11-22
32546|114|2015-11-22
26250|100|2015-11-22
30000|101|2015-11-21
28000|100|2015-11-20
30000|100|2015-11-20
89000|300|2015-11-19
150000|500|2015-11-19
30000|100|2015-11-19
30000|100|2015-11-19
43500|150|2015-11-19
30099|100|2015-11-18
29000|100|2015-11-17
305000|1000|2015-11-17
305000|1000|2015-11-16
28665|100|2015-11-16
315000|1000|2015-11-16
30000|100|2015-11-16
30450|100|2015-11-16
30450|100|2015-11-15
30450|100|2015-11-15
30099|100|2015-11-15
26000|100|2015-11-15
157500|500|2015-11-15
157500|500|2015-11-15
99225|400|2015-11-15
28500|100|2015-11-15
315000|1000|2015-11-15
30000|100|2015-11-15
90000|300|2015-11-14
58900|200|2015-11-14
30000|100|2015-11-14
30000|100|2015-11-14
45000|150|2015-11-13
30000|100|2015-11-13
30000|100|2015-11-13
30000|100|2015-11-13
347288|1000|2015-11-12
29000|100|2015-11-12
320000|1000|2015-11-12
30000|100|2015-11-12
159000|500|2015-11-12
30000|100|2015-11-12
30000|107|2015-11-12
28000|100|2015-11-11
310000|1000|2015-11-11
28942|100|2015-11-11
68355|200|2015-11-11
71773|200|2015-11-11
66150|200|2015-11-11
320000|1000|2015-11-11
30000|100|2015-11-10
30000|100|2015-11-10
91508|300|2015-11-10
31500|100|2015-11-10
29217|100|2015-11-10
29217|100|2015-11-10
29217|100|2015-11-10
31500|100|2015-11-09
30450|100|2015-11-09
27300|100|2015-11-08
95025|300|2015-11-08
310000|1000|2015-11-08
31500|100|2015-11-08
31500|100|2015-11-08
31500|100|2015-11-08
31500|100|2015-11-07
157500|500|2015-11-07
90000|300|2015-11-07
300000|1000|2015-11-07
30000|100|2015-11-07
80000|250|2015-11-07
45000|150|2015-11-07
31500|100|2015-11-06
16538|50|2015-11-06
30000|100|2015-11-06
27563|100|2015-11-06
30000|100|2015-11-06
30000|100|2015-11-05
63000|200|2015-11-05
661500|2000|2015-11-05
164273|500|2015-11-05
63000|200|2015-11-05
30870|100|2015-11-05
30099|100|2015-11-04
30870|100|2015-11-04
31500|100|2015-11-04
30870|100|2015-11-04
55125|200|2015-11-04
25200|100|2015-11-04
30000|100|2015-11-04
29400|100|2015-11-03
30000|100|2015-11-03
30000|100|2015-11-03
30000|100|2015-11-03
45000|150|2015-11-03
30870|100|2015-11-03
30870|100|2015-11-03
157500|500|2015-11-03
30870|100|2015-11-03
30870|100|2015-11-03
300000|1000|2015-11-03
31500|100|2015-11-02
31500|100|2015-11-02
30000|100|2015-11-02
63000|200|2015-11-02
29500|100|2015-11-02
29500|100|2015-11-02
30870|100|2015-11-02
33075|100|2015-11-01
99103|301|2015-11-01
30000|100|2015-11-01
31500|100|2015-11-01
157500|500|2015-11-01
33600|110|2015-11-01
49613|150|2015-11-01
300000|1000|2015-10-31
29925|100|2015-10-31
30000|100|2015-10-31
30000|100|2015-10-31
30450|100|2015-10-31
324135|1000|2015-10-30
29000|100|2015-10-30
30000|100|2015-10-30
160650|500|2015-10-30
97650|300|2015-10-30
155000|500|2015-10-30
62000|200|2015-10-30
32414|100|2015-10-30
352498|1000|2015-10-30
32036|100|2015-10-29
29000|100|2015-10-29
29300|100|2015-10-29
30000|100|2015-10-29
62000|200|2015-10-29
61000|200|2015-10-29
63000|200|2015-10-29
61500|200|2015-10-29
61500|200|2015-10-29
449999|1500|2015-10-29
152000|500|2015-10-29
62000|200|2015-10-29
61000|200|2015-10-29
27563|100|2015-10-28
150000|500|2015-10-28
156450|500|2015-10-27
304500|1000|2015-10-28
16538|50|2015-10-27
33075|100|2015-10-27
62512|200|2015-10-27
31500|100|2015-10-27
60900|200|2015-10-27
157500|500|2015-10-27
29768|100|2015-10-27
28942|100|2015-10-26
29057|100|2015-10-26
30099|100|2015-10-26
30000|100|2015-10-26
27000|100|2015-10-26
30000|100|2015-10-26
